order_items_id,order_id,product_id,quantity,price
1702517037,1,89873,5,464.77
1702517038,1,195702,5,43.19
1702517039,1,176170,4,886.99
1702517040,1,177677,3,695.98
1702517041,1,133615,7,69.00
1702517042,1,53317,7,60.59
1702517043,2,80899,1,18.00
1702517044,2,176524,8,484.09
1702517045,2,120117,2,35.11
1702517046,2,103666,10,2774.21
1702517047,2,34382,6,14.93
1702517048,2,190060,1,35.15
1702517049,2,88564,1,0.00
1702517050,2,19378,9,61.19
1702517051,3,182546,3,21.34
1702517052,3,143509,10,41.16
1702517053,3,85847,5,0.00
1702517054,4,189705,6,17.66
1702517055,5,122717,5,9.99
1702517056,5,163124,1,99.99
1702517057,5,114189,9,7.09
1702517058,5,86577,2,16.50
1702517059,5,42003,1,89.24
1702517060,5,15678,6,62.87
1702517061,5,175367,1,952.48
1702517062,5,51945,7,58.92
1702517063,5,39448,5,9.99
1702517064,5,44574,6,115.67
1702517065,6,146593,7,20.00
1702517066,6,167488,9,24.33
1702517067,6,31663,5,9.78
1702517068,7,138486,7,65.49
1702517069,7,143227,6,59.75
1702517070,7,125343,6,31.95
1702517071,7,12078,3,37.99
1702517072,8,147713,10,8.24
1702517073,8,184116,6,17.89
1702517074,8,118131,6,24.99
1702517075,8,121337,4,17.65
1702517076,8,21139,5,25.99
1702517077,8,122660,3,39.99
1702517078,8,26184,6,16.44
1702517079,8,77720,8,35.99
1702517080,9,93905,8,7.42
1702517081,9,86832,3,16.00
1702517082,9,41001,3,89.27
1702517083,9,53505,7,140.32
1702517084,9,53629,6,13.46
1702517085,10,137579,9,15.98
1702517086,10,49013,9,50.91
1702517087,10,21499,4,264.32
1702517088,10,43979,7,28.06
1702517089,10,143624,10,96.99
1702517090,10,32134,5,19.99
1702517091,11,196832,10,18.99
1702517092,11,90743,1,110.64
1702517093,11,104445,7,383.73
1702517094,11,47580,3,0.00
1702517095,11,178188,5,721.98
1702517096,11,119701,6,18.88
1702517097,11,84095,3,111.84
1702517098,11,148121,9,18.89
1702517099,11,152193,4,48.00
1702517100,11,28918,8,13.65
1702517101,12,3621,1,40.00
1702517102,13,11918,2,64.16
1702517103,13,76507,9,46.60
1702517104,13,40619,3,29.97
1702517105,14,128093,9,554.21
1702517106,14,84577,2,22.11
1702517107,15,63577,9,117.99
1702517108,16,154450,3,0.00
1702517109,16,34516,6,19.95
1702517110,16,79755,4,17.00
1702517111,16,89871,7,66.14
1702517112,16,56019,5,37.00
1702517113,16,162665,8,56.89
1702517114,16,61820,9,101.41
1702517115,16,131457,10,337.93
1702517116,17,14898,8,58.53
1702517117,17,198062,5,19.99
1702517118,18,31653,2,10.99
1702517119,18,24145,9,13.65
1702517120,18,130064,9,146.81
1702517121,18,171216,2,235.92
1702517122,18,123677,10,21.99
1702517123,19,100610,3,3764.84
1702517124,19,101650,8,423.97
1702517125,19,136064,9,147.99
1702517126,19,101296,9,67.79
1702517127,19,104702,8,905.44
1702517128,19,98797,3,283.99
1702517129,20,93860,10,18.44
1702517130,20,155805,10,20.49
1702517131,21,190693,2,12.29
1702517132,21,106908,3,17.99
1702517133,21,7457,9,0.00
1702517134,21,55319,5,92.80
1702517135,21,42273,1,140.00
1702517136,22,76344,6,0.00
1702517137,22,49695,1,182.18
1702517138,22,115365,3,0.00
1702517139,22,677,5,39.99
1702517140,22,6879,6,10.99
1702517141,22,51320,5,0.00
1702517142,22,76816,9,49.81
1702517143,22,70838,6,46.69
1702517144,22,157412,10,0.00
1702517145,22,25977,6,10.99
1702517146,23,170763,2,35.99
1702517147,23,166430,6,20.13
1702517148,24,167102,4,30.45
1702517149,24,138777,7,318.72
1702517150,24,92252,4,15.99
1702517151,24,99530,1,28.06
1702517152,24,37787,7,56.24
1702517153,24,37198,7,20.93
1702517154,24,152719,5,37.24
1702517155,24,101336,7,491.40
1702517156,25,171884,4,789.90
1702517157,25,168937,9,131.30
